Lid,Start_x,Start_y,End_x,End_y
0,21.89180108,11.6109291,7.510080645,-4.568506384
1,7.510080645,-4.568506384,-27.5453629,-19.84908434
2,-27.5453629,-19.84908434,-20.35450269,-63.89310316
3,-20.35450269,-63.89310316,-14.0625,-87.26339886
4,-14.0625,-87.26339886,6.611223118,-168.1605763
5,6.611223118,-168.1605763,-85.97110215,-190.6320144
6,-85.97110215,-190.6320144,-154.2842742,-207.7103075
7,-154.2842742,-207.7103075,-207.3168683,-217.5977403
8,-207.3168683,-217.5977403,-208.2157258,-264.3383317
9,-208.2157258,-264.3383317,-232.484879,-276.0234795
10,-232.484879,-276.0234795,-267.5403226,-286.8097698
11,-267.5403226,-286.8097698,-350.2352151,-308.3823505
12,-350.2352151,-308.3823505,-432.9301075,-326.359501
13,-432.9301075,-326.359501,-435.6266801,-321.8652134
14,-435.6266801,-321.8652134,-474.2775538,-329.9549311
15,-474.2775538,-329.9549311,-554.2758737,-347.0332241
16,-554.2758737,-347.0332241,-558.7701613,-335.3480763
17,-558.7701613,-335.3480763,-564.1633065,-311.9777806
18,-564.1633065,-311.9777806,-569.5564516,-284.1131972
19,-569.5564516,-284.1131972,-573.1518817,-272.4280494
20,-573.1518817,-272.4280494,-581.2415995,-247.2600386
21,-581.2415995,-247.2600386,-589.3313172,-204.1148774
22,-589.3313172,-204.1148774,-592.0278898,-171.7560064
23,-592.0278898,-171.7560064,-597.4210349,-153.7788558
24,-597.4210349,-153.7788558,-621.6901882,-61.19653058
25,-621.6901882,-61.19653058,-546.1861559,-30.63537466
26,-546.1861559,-30.63537466,-517.4227151,-20.74794187
27,-517.4227151,-20.74794187,-485.0638441,-14.45593918
28,-485.0638441,-14.45593918,-464.390121,-9.062794019
29,-464.390121,-9.062794019,-379.8975134,7.116641465
30,-379.8975134,7.116641465,-343.0443548,15.20635921
31,-343.0443548,15.20635921,-316.078629,18.80178931
32,-316.078629,18.80178931,-308.8877688,20.59950437
33,-308.8877688,20.59950437,-277.4277554,28.68922211
34,-277.4277554,28.68922211,-245.9677419,30.48693716
35,-245.9677419,30.48693716,-238.7768817,10.71207157
36,-238.7768817,10.71207157,-229.7883065,-0.07421875
37,-229.7883065,-0.07421875,-215.406586,-61.19653058
38,-215.406586,-61.19653058,-187.5420027,-56.70224294
39,-187.5420027,-56.70224294,-27.5453629,-19.84908434
40,-20.35450269,-63.89310316,-60.8030914,-73.78053595
41,-60.8030914,-73.78053595,-100.3528226,-86.36454133
42,-100.3528226,-86.36454133,-100.3528226,-103.4428343
43,-100.3528226,-103.4428343,-96.75739247,-132.2062752
44,-96.75739247,-132.2062752,-85.97110215,-190.6320144
45,-14.0625,-87.26339886,-100.3528226,-103.4428343
46,-96.75739247,-132.2062752,-166.8682796,-148.3857107
47,-166.8682796,-148.3857107,-165.969422,-159.172001
48,-165.969422,-159.172001,-154.2842742,-207.7103075
49,-166.8682796,-148.3857107,-173.1602823,-125.015415
50,-173.1602823,-125.015415,-187.5420027,-56.70224294
51,-173.1602823,-125.015415,-226.1928763,-142.9925655
52,-226.1928763,-142.9925655,-298.1014785,-156.4754284
53,-298.1014785,-156.4754284,-291.8094758,-184.3400118
54,-291.8094758,-184.3400118,-289.1129032,-201.4183048
55,-289.1129032,-201.4183048,-283.7197581,-222.0920279
56,-283.7197581,-222.0920279,-278.3266129,-250.8554687
57,-278.3266129,-250.8554687,-267.5403226,-286.8097698
58,-226.1928763,-142.9925655,-219.0020161,-166.3628612
59,-219.0020161,-166.3628612,-210.32,-203.87
60,-210.32,-203.87,-207.3168683,-217.5977403
61,-219.0020161,-166.3628612,-291.8094758,-184.3400118
62,-210.32,-203.87,-283.7197581,-222.0920279
63,-215.406586,-61.19653058,-302.5957661,-80.07253864
64,-302.5957661,-80.07253864,-317.8763441,-91.75768649
65,-317.8763441,-91.75768649,-298.1014785,-156.4754284
66,-302.5957661,-80.07253864,-305.2923387,-45.01709509
67,-305.2923387,-45.01709509,-312.4831989,0.824638777
68,-312.4831989,0.824638777,-316.078629,18.80178931
69,-317.8763441,-91.75768649,-359.2237903,-95.3531166
70,-359.2237903,-95.3531166,-439.23,-113.62
71,-439.23,-113.62,-453.19,-118.57
72,-453.19,-118.57,-524.6135753,-134.0039903
73,-524.6135753,-134.0039903,-597.4210349,-153.7788558
74,-359.2237903,-95.3531166,-379.8975134,7.116641465
75,-439.23,-113.62,-464.390121,-9.062794019
76,-524.6135753,-134.0039903,-535.3998656,-91.75768649
77,-535.3998656,-91.75768649,-537.09,-68.99
78,-537.09,-68.99,-546.1861559,-30.63537466
79,-537.09,-68.99,-503.89,-58.74
80,-503.89,-58.74,-505.7375672,-51.30909778
81,-505.7375672,-51.30909778,-517.4227151,-20.74794187
82,-503.89,-58.74,-475.71,-52.4
83,-475.71,-52.4,-476.9741263,-43.21938004
84,-476.9741263,-43.21938004,-484.1649866,-30.63537466
85,-484.1649866,-30.63537466,-485.0638441,-14.45593918
86,-475.71,-52.4,-456.3004032,-45.91595262
87,-535.3998656,-91.75768649,-610.9038978,-104.3416919
88,-610.9038978,-104.3416919,-683.7113575,-123.2176999
89,-683.7113575,-123.2176999,-693.5987903,-76.47710853
90,-693.5987903,-76.47710853,-621.6901882,-61.19653058
91,-453.19,-118.57,-444.6152554,-150.1834257
92,-444.6152554,-150.1834257,-434.7278226,-192.4297295
93,-434.7278226,-192.4297295,-425.7392473,-222.0920279
94,-425.7392473,-222.0920279,-455.4015457,-231.0806032
95,-455.4015457,-231.0806032,-459.8958333,-233.7771757
96,-459.8958333,-233.7771757,-495.6,-246.07
97,-495.6,-246.07,-494.0524194,-265.2371892
98,-494.0524194,-265.2371892,-569.5564516,-284.1131972
99,-455.4015457,-231.0806032,-435.6266801,-321.8652134
100,-495.6,-246.07,-496.17,-238.24
101,-496.17,-238.24,-501.2432796,-228.3840306
102,-501.2432796,-228.3840306,-512.0295699,-186.1377268
103,-512.0295699,-186.1377268,-513.8272849,-160.9697161
104,-513.8272849,-160.9697161,-519.2204301,-153.7788558
105,-519.2204301,-153.7788558,-524.6135753,-134.0039903
106,-496.17,-238.24,-474.2775538,-230.1817456
107,-474.2775538,-230.1817456,-465.2889785,-229.2828881
108,-465.2889785,-229.2828881,-458.0981183,-229.2828881
109,-494.0524194,-265.2371892,-484.1649866,-304.7869204
110,-484.1649866,-304.7869204,-484.1649866,-311.0789231
111,-484.1649866,-311.0789231,-474.2775538,-329.9549311
112,-683.7113575,-123.2176999,-678.3182124,-150.1834257
113,-678.3182124,-150.1834257,-664.08,-222.09
114,-664.08,-222.09,-661.2399194,-243.6646085
115,-661.2399194,-243.6646085,-656.02,-260.99
116,-656.02,-260.99,-648.655914,-290.4051999
117,-648.655914,-290.4051999,-640.5661962,-322.7640709
118,-648.655914,-290.4051999,-573.1518817,-272.4280494
119,-656.02,-260.99,-581.2415995,-247.2600386
120,-664.08,-222.09,-589.3313172,-204.1148774
121,-678.3182124,-150.1834257,-603.7130376,-132.2062752
122,-589.3313172,-204.1148774,-512.0295699,-186.1377268
123,-455.4015457,-231.0806032,-458.0981183,-229.2828881
124,-277.4277554,28.68922211,-298,103.5
